company_name,location,ctc,skill_required
Evavo Wellness & Solutions LLP,Mumbai,"₹ 3,00,000 - 6,30,000                                

                        ₹ 3,00,000 - 6,30,000 /year",Digital Marketing
Wehire Talent Solutions,"Thane, Navi Mumbai, Mumbai","₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Conflict Management
Zyvka,"Navi Mumbai, Mumbai","₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",English Proficiency (Spoken)
Reflex Realty LLP,Mumbai,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Adobe After Effects
Best Roadways Limited,Mumbai,"₹ 2,40,000 - 2,50,000                                

                        ₹ 2,40,000 - 2,50,000 /year",English Proficiency (Written)
Wehire Talent Solutions,"Mumbai, Dahisar, Goregaon Kh, Boriwali","₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Conflict Management
Aashni + Co,Mumbai,"₹ 4,40,000 - 5,10,000                                

                        ₹ 4,40,000 - 5,10,000 /year",Effective Communication
Hiring Squad,Mumbai,"₹ 2,50,000 - 4,00,000                                

                        ₹ 2,50,000 - 4,00,000 /year",Adobe Illustrator
DOMADIA,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Video Editing
Zell Education,Mumbai,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",B2B Sales
Wordberries LLP,Mumbai                                            (Hybrid),"₹ 2,00,000 - 2,04,000                                

                        ₹ 2,00,000 - 2,04,000 /year",English Proficiency (Spoken)
Wehire Talent Solutions,"Mumbai, Goregaon Kh, Boriwali","₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Effective Communication
